time,AmbientTemperature,Ignition
2023-05-24 11:05:12.961000+00:00,35.2,1.0
2023-05-24 11:09:07.694000+00:00,36.0,1.0
2023-05-24 11:11:38.903000+00:00,35.2,1.0
2023-05-24 11:13:39.870000+00:00,36.0,1.0
2023-05-24 11:13:44.190000+00:00,35.2,1.0
2023-05-24 11:15:07.715000+00:00,36.0,1.0
2023-05-24 11:17:23.082000+00:00,37.2,1.0
2023-05-24 11:17:34.603000+00:00,36.0,1.0
2023-05-24 11:20:21.653000+00:00,37.2,1.0
2023-05-24 11:24:32.227000+00:00,36.0,1.0
2023-05-24 11:24:42.307000+00:00,37.2,1.0
2023-05-24 11:24:49.508000+00:00,36.0,1.0
2023-05-24 11:25:21.190000+00:00,37.2,1.0
2023-05-24 11:25:28.390000+00:00,36.0,1.0
2023-05-24 11:25:32.710000+00:00,37.2,1.0
2023-05-24 11:25:48.551000+00:00,36.0,1.0
2023-05-24 11:25:55.751000+00:00,37.2,1.0
2023-05-24 11:26:05.832000+00:00,36.0,1.0
2023-05-24 11:27:58.158000+00:00,37.2,1.0
2023-05-24 11:28:15.439000+00:00,36.0,1.0
2023-05-24 11:34:34.181000+00:00,37.2,1.0
2023-05-24 11:34:38.501000+00:00,36.0,1.0
2023-05-24 11:37:48.592000+00:00,37.2,1.0
2023-05-24 11:37:51.472000+00:00,36.0,1.0
2023-05-24 11:38:04.433000+00:00,37.2,1.0
2023-05-24 11:45:33.738000+00:00,38.0,1.0
2023-05-24 11:51:20.797000+00:00,39.2,1.0
2023-05-24 11:51:30.878000+00:00,38.0,1.0
2023-05-24 11:52:15.521000+00:00,39.2,1.0
2023-05-24 11:52:55.843000+00:00,38.0,1.0
2023-05-24 12:01:21.312000+00:00,37.2,1.0
2023-05-24 12:18:51.132000+00:00,38.0,1.0
2023-05-24 12:21:03.619000+00:00,37.2,1.0
2023-05-24 12:21:09.379000+00:00,38.0,1.0
2023-05-24 12:22:09.863000+00:00,37.2,1.0
